אֲמַר,מוֹר ²,מוּר II,מוּר I
לֵיהּ,ל
רַב,רבי
אָשֵׁי,אָשָׁא,אֻשָּׁא,אֶשָּׁא
לְרָבָא,*אֲרַב
וְהָא,הָא I
אָמַר,אֵמֶר,אִמַּר
עוּלָּא,עֲלַל II,עֲלַל I
קוֹמֶץ,קוֹמֶץ
פִּיגּוּל,פִּיגּוּל
שֶׁהֶעֱלוֹ,עלי
לְגַבֵּי,גַּב ²
מִזְבֵּחַ,מִזְבֵּחַ
פָּקַע,פְּקַע
פִּיגּוּלוֹ,פִּיגּוּל
מִמֶּנּוּ,מִן
וּקְמִיצָה,קְמִיצָה
הַיְינוּ,הָדֵין
שְׁחִיטָה,חטי
וְהָא,הָא I
קָתָנֵי,תני
אִם,אִם
אֲחֵרִים,אַחֵר
מֵבִיא,בּוֹא
לִידֵי,יַד
פִּיגּוּל,פִּיגּוּל
הוּא,הוּא ²
עַצְמוֹ,עֶצֶם
לֹא,לֹא
כׇּל,כָּל
שֶׁכֵּן,כֵּן II
וְהָא,הָא I
קָתָנֵי,תני
אִם,אִם
אֲחֵרִים,אַחֵר
מֵבִיא,בּוֹא
לִידֵי,יַד
פִּיגּוּל,פִּיגּוּל
הוּא,הוּא ²
עַצְמוֹ,עֶצֶם
לֹא,לֹא
כׇּל,כָּל
שֶׁכֵּן,כֵּן II
הָא,הָא I
נָמֵי,נַמִּי
אִיסּוּרָא,אִסּוּרָא
דְּמַיְיתֵי,אלי II
לִידֵי,יַד
פִּיגּוּל,פִּיגּוּל
אֲמַר,מוֹר ²,מוּר II,מוּר I
לֵיהּ,ל
רָבִינָא,רבי
לְרַב,רבי
אָשֵׁי,אָשָׁא,אֻשָּׁא,אֶשָּׁא
וְהָאָמַר,אֲמַר
אִילְפָא,אִלְפָא
מַחֲלוֹקֶת,מחלקות
בִּשְׁתֵּי,שְׁתַּיִם
עֲבוֹדוֹת,עֲבוֹדָה
כְּגוֹן,כְּגוֹן
דְּאָמַר,אֲמַר
הֲרֵינִי,הֲרֵי II,הֲרֵי I
שׁוֹחֵט,שָׂחַט
סִימָן,סִימָן
רִאשׁוֹן,רִאשׁוֹן
חוּץ,עִיקּוּר,נִיקּוּר
לִזְמַנּוֹ,זְמַן II,זְמַן I
וְסִימָן,סִימָן
שֵׁנִי,שֵׁנִי
חוּץ,עִיקּוּר,נִיקּוּר
לִמְקוֹמוֹ,מָקוֹם
אֲבָל,אֲבָל
בַּעֲבוֹדָה,עִבּוּד,עֲבוֹדָה
אַחַת,אֶחָד
